task_id,timestamp,agent,workflow_type,confidence,amount,vendor_id,vendor_type,risk_level,human_reviewed,ai_decision,final_decision,correct,processing_time_seconds,exception_type
T-00068,2026-02-22 13:07:18,Accounts Payable AI,po_invoice,0.9683,34534.49,V-0103,existing,low,False,approve,approve,True,13,none
T-00069,2026-02-22 13:08:57,Accounts Payable AI,po_invoice,0.8523,73678.87,V-0028,existing,low,True,approve,approve,True,312,none
T-00070,2026-02-22 13:17:50,Accounts Payable AI,standard_invoice,0.9824,8359.74,V-0065,existing,low,False,approve,approve,True,20,none
T-00071,2026-02-22 13:22:12,Accounts Payable AI,po_invoice,0.9068,4420.92,V-0076,existing,low,False,approve,approve,True,39,none
T-00072,2026-02-22 13:40:41,Accounts Payable AI,po_invoice,0.9485,63489.38,V-0043,existing,low,False,approve,approve,True,60,missing_po
T-00073,2026-02-22 13:40:58,Accounts Payable AI,po_invoice,0.9608,23833.14,V-0136,existing,low,False,approve,approve,True,15,none
T-00074,2026-02-22 13:42:17,Accounts Payable AI,po_invoice,0.9829,173297.18,V-0034,existing,medium,True,approve,approve,True,315,none
T-00075,2026-02-22 13:50:34,Accounts Payable AI,po_invoice,0.9875,53820.29,V-0297,existing,low,False,approve,approve,True,9,none
T-00076,2026-02-22 13:56:03,Accounts Payable AI,non_po_invoice,0.889,17982.48,V-0325,existing,low,True,approve,approve,True,268,none
T-00077,2026-02-22 14:05:58,Accounts Payable AI,po_invoice,0.9749,21009.5,V-0398,existing,low,False,approve,approve,True,18,none
T-00078,2026-02-22 14:34:56,Accounts Payable AI,standard_invoice,0.9515,24487.9,V-0037,existing,low,True,approve,approve,True,519,missing_approval
T-00079,2026-02-22 14:36:20,Accounts Payable AI,standard_invoice,0.987,30341.74,V-0028,existing,low,False,approve,approve,True,23,none
T-00080,2026-02-22 14:48:08,Accounts Payable AI,non_po_invoice,0.8631,77563.14,V-0353,existing,medium,True,reject,reject,True,212,missing_approval
T-00081,2026-02-22 15:07:31,Accounts Payable AI,non_po_invoice,0.932,26242.36,V-0006,existing,low,False,approve,approve,True,34,none
T-00082,2026-02-22 15:10:55,Accounts Payable AI,po_invoice,0.9468,13485.96,NV-0094,new,medium,False,reject,reject,True,19,none
T-00083,2026-02-22 15:20:51,Accounts Payable AI,non_po_invoice,0.9385,28262.26,V-0113,existing,low,False,approve,approve,True,39,none
T-00084,2026-02-22 15:25:16,Accounts Payable AI,po_invoice,0.952,34539.07,NV-0041,new,medium,False,approve,approve,True,21,none
T-00085,2026-02-22 15:29:31,Accounts Payable AI,standard_invoice,0.9353,15087.96,V-0266,existing,low,False,approve,approve,True,24,none
T-00086,2026-02-22 15:42:32,Accounts Payable AI,po_invoice,0.9496,29977.6,V-0192,existing,low,False,approve,approve,True,17,none
T-00087,2026-02-22 15:46:55,Accounts Payable AI,po_invoice,0.9669,14530.26,V-0315,existing,low,False,approve,approve,True,17,none
T-00088,2026-02-22 15:49:46,Accounts Payable AI,po_invoice,0.9618,4342.27,NV-0112,new,medium,False,approve,approve,True,35,none
T-00089,2026-02-22 16:02:56,Accounts Payable AI,po_invoice,0.9113,6160.72,V-0159,existing,low,False,approve,approve,True,21,none
T-00090,2026-02-22 16:08:04,Accounts Payable AI,standard_invoice,0.938,88561.67,V-0328,existing,medium,False,approve,approve,True,44,none
T-00091,2026-02-22 16:11:00,Accounts Payable AI,po_invoice,0.9532,79890.59,V-0311,existing,medium,False,reject,reject,True,22,none
T-00092,2026-02-22 16:15:25,Accounts Payable AI,po_invoice,0.9201,22642.34,V-0257,existing,medium,False,approve,approve,True,149,price_mismatch
T-00093,2026-02-22 16:16:15,Accounts Payable AI,po_invoice,0.9465,18165.13,V-0186,existing,low,False,approve,approve,True,22,none
T-00094,2026-02-22 16:47:04,Accounts Payable AI,standard_invoice,0.9003,27754.59,V-0139,existing,low,False,approve,approve,True,18,none
T-00095,2026-02-22 16:54:58,Accounts Payable AI,po_invoice,0.956,3734.31,V-0056,existing,low,False,approve,approve,True,12,none
T-00096,2026-02-22 17:07:31,Accounts Payable AI,po_invoice,0.9599,78944.32,V-0097,existing,medium,False,approve,approve,True,23,none
T-00097,2026-02-22 17:07:49,Accounts Payable AI,standard_invoice,0.8733,51981.81,V-0063,existing,low,True,reject,reject,True,403,none
T-00098,2026-02-22 17:08:28,Accounts Payable AI,po_invoice,0.9544,60794.08,V-0239,existing,low,False,approve,approve,True,17,none
T-00099,2026-02-22 17:23:23,Accounts Payable AI,po_invoice,0.9625,27957.66,V-0353,existing,low,False,approve,approve,True,28,none
T-00100,2026-02-22 17:24:32,Accounts Payable AI,standard_invoice,0.9896,19393.83,V-0201,existing,low,False,approve,approve,True,5,none
T-00101,2026-02-22 17:44:04,Accounts Payable AI,po_invoice,0.9566,20760.67,V-0222,existing,low,False,approve,approve,True,24,none
T-00102,2026-02-22 18:02:33,Accounts Payable AI,po_invoice,0.9453,28374.84,V-0298,existing,low,False,approve,approve,True,24,none
T-00103,2026-02-22 18:07:32,Accounts Payable AI,standard_invoice,0.937,43967.52,V-0051,existing,low,False,approve,approve,True,17,none
T-00104,2026-02-22 18:15:14,Accounts Payable AI,non_po_invoice,0.9212,8883.71,V-0280,existing,low,False,approve,approve,True,12,none
T-00105,2026-02-22 18:18:00,Accounts Payable AI,po_invoice,0.9224,7313.52,NV-0117,new,medium,True,approve,approve,True,374,none
T-00106,2026-02-22 18:21:26,Accounts Payable AI,po_invoice,0.9605,10648.73,V-0314,existing,low,False,approve,approve,True,42,none
T-00107,2026-02-22 18:36:16,Accounts Payable AI,po_invoice,0.9908,29444.37,V-0228,existing,low,False,approve,approve,True,26,none
T-00108,2026-02-22 18:42:15,Accounts Payable AI,standard_invoice,0.9721,47869.55,V-0219,existing,low,False,approve,approve,True,13,none
T-00109,2026-02-22 18:47:14,Accounts Payable AI,standard_invoice,0.9676,16320.17,V-0019,existing,low,False,reject,reject,True,19,none
T-00110,2026-02-22 18:57:20,Accounts Payable AI,standard_invoice,0.8893,4658.75,V-0271,existing,low,True,approve,approve,True,538,missing_po
T-00111,2026-02-22 19:01:23,Accounts Payable AI,po_invoice,0.9164,67024.77,NV-0019,new,medium,True,approve,approve,True,464,none
T-00112,2026-02-22 19:07:03,Accounts Payable AI,standard_invoice,0.9452,17630.53,V-0247,existing,low,False,approve,approve,True,75,missing_po
T-00113,2026-02-22 19:13:59,Accounts Payable AI,standard_invoice,0.943,13628.14,V-0053,existing,medium,True,approve,approve,True,397,contract_mismatch
T-00114,2026-02-22 19:18:57,Accounts Payable AI,po_invoice,0.999,36944.53,V-0364,existing,low,False,approve,approve,True,18,none
T-00115,2026-02-22 19:19:35,Accounts Payable AI,standard_invoice,0.9899,13036.48,V-0133,existing,low,False,approve,approve,True,8,none
T-00116,2026-02-22 19:19:43,Accounts Payable AI,po_invoice,0.9582,18576.23,V-0297,existing,low,False,approve,approve,True,12,none
T-00117,2026-02-22 19:19:48,Accounts Payable AI,po_invoice,0.9858,4047.3,V-0344,existing,low,False,approve,approve,True,13,none
T-00118,2026-02-22 19:20:38,Accounts Payable AI,po_invoice,0.9619,43330.56,V-0276,existing,low,False,approve,approve,True,15,none
T-00119,2026-02-22 19:32:54,Accounts Payable AI,po_invoice,0.9964,4068.26,V-0192,existing,low,False,approve,approve,True,22,none
T-00120,2026-02-22 19:50:35,Accounts Payable AI,po_invoice,0.986,26722.61,V-0383,existing,low,False,approve,approve,True,31,none
T-00121,2026-02-22 20:03:50,Accounts Payable AI,standard_invoice,0.9484,31274.98,V-0217,existing,low,False,approve,approve,True,46,missing_po
T-00122,2026-02-22 20:17:23,Accounts Payable AI,standard_invoice,0.9716,43553.96,V-0034,existing,low,False,approve,approve,True,18,none
T-00123,2026-02-22 20:28:16,Accounts Payable AI,po_invoice,0.9238,24999.14,V-0344,existing,low,False,reject,reject,True,49,missing_po
T-00124,2026-02-22 20:34:17,Accounts Payable AI,po_invoice,0.9542,9091.79,V-0097,existing,low,False,approve,approve,True,12,none
T-00125,2026-02-22 20:35:47,Accounts Payable AI,standard_invoice,0.9698,45670.38,V-0296,existing,low,False,approve,approve,True,20,none
T-00126,2026-02-22 20:38:26,Accounts Payable AI,po_invoice,0.954,2982.95,V-0327,existing,low,False,approve,approve,True,44,none
T-00127,2026-02-22 21:06:00,Accounts Payable AI,po_invoice,0.9297,18328.6,V-0028,existing,low,False,approve,approve,True,13,none
T-00128,2026-02-22 21:14:40,Accounts Payable AI,po_invoice,0.9203,38005.51,NV-0099,new,medium,True,approve,approve,True,352,none
T-00129,2026-02-22 21:30:55,Accounts Payable AI,po_invoice,0.94,39912.84,V-0034,existing,low,False,approve,approve,True,16,none
T-00130,2026-02-22 21:32:58,Accounts Payable AI,standard_invoice,0.9426,34186.7,V-0328,existing,low,False,approve,approve,True,42,none
T-00131,2026-02-22 21:36:35,Accounts Payable AI,po_invoice,0.9505,16536.2,V-0121,existing,low,False,approve,approve,True,23,none
T-00132,2026-02-22 21:39:16,Accounts Payable AI,standard_invoice,0.9063,39069.17,V-0276,existing,low,False,approve,approve,True,54,none
T-00133,2026-02-22 21:41:37,Accounts Payable AI,standard_invoice,0.8595,7188.46,V-0371,existing,medium,True,reject,reject,True,275,price_mismatch
T-00134,2026-02-22 21:42:57,Accounts Payable AI,po_invoice,0.954,36587.03,V-0203,existing,low,False,approve,approve,True,14,none
T-00135,2026-02-22 22:07:51,Accounts Payable AI,standard_invoice,0.8803,4621.3,V-0122,existing,low,True,approve,approve,True,302,missing_po
T-00136,2026-02-22 22:09:03,Accounts Payable AI,standard_invoice,0.8873,26542.45,V-0152,existing,low,True,approve,approve,True,98,missing_po
T-00137,2026-02-22 22:30:34,Accounts Payable AI,po_invoice,0.9727,60039.09,V-0160,existing,low,False,approve,approve,True,15,none
T-00138,2026-02-22 22:38:38,Accounts Payable AI,po_invoice,0.9951,16431.24,V-0172,existing,low,False,approve,approve,True,24,none
T-00139,2026-02-22 22:39:34,Accounts Payable AI,standard_invoice,0.9771,37998.98,V-0082,existing,low,False,approve,approve,True,16,none
T-00140,2026-02-22 22:50:59,Accounts Payable AI,po_invoice,0.9353,25025.86,NV-0033,new,medium,True,approve,approve,True,210,none
T-00141,2026-02-22 23:00:37,Accounts Payable AI,standard_invoice,0.9724,57155.31,V-0026,existing,low,False,approve,approve,True,32,none
T-00142,2026-02-22 23:03:14,Accounts Payable AI,standard_invoice,0.9777,97722.73,V-0375,existing,medium,False,approve,approve,True,18,none
T-00143,2026-02-22 23:06:03,Accounts Payable AI,po_invoice,0.924,2500.0,V-0338,existing,low,False,reject,reject,True,57,missing_po
T-00144,2026-02-22 23:07:22,Accounts Payable AI,po_invoice,0.8832,25322.93,V-0141,existing,low,True,reject,reject,True,644,missing_approval
T-00145,2026-02-22 23:13:15,Accounts Payable AI,po_invoice,0.9513,37929.42,V-0129,existing,low,False,approve,approve,True,19,none
T-00146,2026-02-22 23:32:36,Accounts Payable AI,standard_invoice,0.9754,15180.74,V-0004,existing,low,False,approve,approve,True,12,none
T-00147,2026-02-22 23:35:13,Accounts Payable AI,po_invoice,0.9119,27365.23,NV-0119,new,medium,True,reject,reject,True,164,none
T-00148,2026-02-22 23:46:30,Accounts Payable AI,standard_invoice,0.9227,8002.27,V-0039,existing,medium,False,reject,reject,True,82,price_mismatch
T-00149,2026-02-22 23:46:34,Accounts Payable AI,po_invoice,0.914,22790.27,NV-0110,new,medium,True,approve,approve,True,227,none
T-00150,2026-02-22 23:50:29,Accounts Payable AI,po_invoice,0.9423,28439.62,V-0237,existing,low,False,approve,approve,True,43,none
T-00151,2026-02-22 23:53:49,Accounts Payable AI,standard_invoice,0.9915,288338.82,V-0108,existing,high,True,reject,reject,True,180,none
T-00152,2026-02-23 00:19:26,Accounts Payable AI,po_invoice,0.987,24573.99,V-0118,existing,low,False,approve,approve,True,30,none
T-00153,2026-02-23 00:29:52,Accounts Payable AI,standard_invoice,0.9539,25643.34,V-0391,existing,low,False,approve,approve,True,14,none
T-00154,2026-02-23 00:35:02,Accounts Payable AI,po_invoice,0.9226,38987.48,V-0251,existing,low,False,approve,approve,True,24,none
T-00155,2026-02-23 00:45:28,Accounts Payable AI,standard_invoice,0.9061,7732.44,V-0389,existing,medium,False,reject,reject,True,54,price_mismatch
T-00156,2026-02-23 00:49:16,Accounts Payable AI,po_invoice,0.9688,37987.89,NV-0117,new,medium,False,approve,approve,True,24,none
T-00157,2026-02-23 00:53:42,Accounts Payable AI,non_po_invoice,0.9359,5960.97,V-0153,existing,low,False,approve,approve,True,29,none
T-00158,2026-02-23 01:06:30,Accounts Payable AI,non_po_invoice,0.9455,7914.01,V-0207,existing,medium,True,approve,approve,True,166,contract_mismatch
T-00159,2026-02-23 01:15:26,Accounts Payable AI,po_invoice,0.9805,18098.71,V-0103,existing,low,False,approve,approve,True,19,none
T-00160,2026-02-23 01:24:44,Accounts Payable AI,non_po_invoice,0.9752,24220.0,V-0020,existing,low,False,approve,approve,True,18,none
T-00161,2026-02-23 01:28:11,Accounts Payable AI,po_invoice,0.9463,70735.64,V-0049,existing,low,False,approve,approve,True,25,none
T-00162,2026-02-23 01:31:26,Accounts Payable AI,standard_invoice,0.9797,7179.24,V-0024,existing,low,False,approve,approve,True,29,none
T-00163,2026-02-23 01:32:35,Accounts Payable AI,po_invoice,0.9632,28462.03,V-0342,existing,low,True,approve,approve,True,136,missing_approval
T-00164,2026-02-23 01:39:53,Accounts Payable AI,non_po_invoice,0.9905,55785.27,V-0198,existing,low,False,approve,approve,True,19,none
T-00165,2026-02-23 02:07:55,Accounts Payable AI,non_po_invoice,0.8876,115992.88,V-0157,existing,medium,True,approve,approve,True,288,none
T-00166,2026-02-23 02:13:47,Accounts Payable AI,po_invoice,0.9228,11569.6,V-0077,existing,low,False,approve,approve,True,16,none
T-00167,2026-02-23 02:18:59,Accounts Payable AI,standard_invoice,0.8771,63640.4,V-0082,existing,low,True,approve,approve,True,300,missing_approval
T-00168,2026-02-23 02:27:22,Accounts Payable AI,po_invoice,0.948,68636.32,V-0397,existing,low,False,approve,approve,True,20,none
T-00169,2026-02-23 02:27:55,Accounts Payable AI,po_invoice,0.9792,58053.79,V-0248,existing,low,True,approve,approve,True,231,none
T-00170,2026-02-23 02:41:13,Accounts Payable AI,standard_invoice,0.9413,62549.08,V-0196,existing,low,False,approve,approve,True,9,none
T-00171,2026-02-23 02:46:33,Accounts Payable AI,non_po_invoice,0.9545,22129.09,NV-0039,new,medium,False,reject,approve,False,25,none
T-00172,2026-02-23 03:28:27,Accounts Payable AI,po_invoice,0.9878,18236.45,V-0182,existing,low,False,approve,approve,True,47,none
T-00173,2026-02-23 03:31:13,Accounts Payable AI,po_invoice,0.9015,10623.34,NV-0059,new,medium,True,approve,approve,True,339,none
T-00174,2026-02-23 03:38:11,Accounts Payable AI,standard_invoice,0.9539,4257.53,NV-0092,new,medium,False,approve,approve,True,24,none
T-00175,2026-02-23 03:47:45,Accounts Payable AI,po_invoice,0.9847,38131.3,V-0035,existing,low,False,approve,approve,True,21,none
T-00176,2026-02-23 03:53:55,Accounts Payable AI,po_invoice,0.9424,87000.75,V-0344,existing,medium,False,approve,approve,True,27,none
T-00177,2026-02-23 04:03:42,Accounts Payable AI,po_invoice,0.9553,22844.82,V-0330,existing,medium,True,approve,approve,True,444,duplicate_invoice
T-00178,2026-02-23 04:17:02,Accounts Payable AI,po_invoice,0.9408,17339.63,V-0011,existing,low,False,approve,approve,True,21,none
T-00179,2026-02-23 04:24:00,Accounts Payable AI,standard_invoice,0.9873,8117.64,V-0224,existing,low,False,approve,approve,True,34,none
T-00180,2026-02-23 04:31:34,Accounts Payable AI,non_po_invoice,0.9175,89619.13,V-0202,existing,medium,False,approve,approve,True,13,none
T-00181,2026-02-23 04:45:35,Accounts Payable AI,po_invoice,0.9804,135742.13,V-0233,existing,medium,True,reject,reject,True,397,none
T-00182,2026-02-23 05:10:24,Accounts Payable AI,po_invoice,0.9385,25587.74,V-0208,existing,low,False,approve,approve,True,55,missing_po
T-00183,2026-02-23 05:27:33,Accounts Payable AI,po_invoice,0.9605,20687.99,V-0023,existing,medium,False,approve,approve,True,91,price_mismatch
T-00184,2026-02-23 05:52:41,Accounts Payable AI,standard_invoice,0.9589,40236.59,V-0084,existing,low,False,approve,approve,True,23,none
T-00185,2026-02-23 06:03:35,Accounts Payable AI,non_po_invoice,0.9694,58342.6,V-0319,existing,low,False,approve,approve,True,42,none
T-00186,2026-02-23 06:21:58,Accounts Payable AI,po_invoice,0.9356,42320.25,V-0304,existing,low,False,reject,reject,True,29,none
T-00187,2026-02-23 06:23:25,Accounts Payable AI,po_invoice,0.978,10138.86,V-0126,existing,low,False,approve,approve,True,24,none
T-00188,2026-02-23 06:44:15,Accounts Payable AI,po_invoice,0.9954,20465.89,V-0219,existing,low,False,approve,approve,True,8,none
T-00189,2026-02-23 06:46:43,Accounts Payable AI,po_invoice,0.975,106999.21,V-0188,existing,medium,True,approve,approve,True,177,none
T-00190,2026-02-23 06:51:02,Accounts Payable AI,non_po_invoice,0.9526,83407.62,V-0119,existing,medium,False,approve,approve,True,24,none
T-00191,2026-02-23 07:09:04,Accounts Payable AI,po_invoice,0.8992,21929.42,V-0159,existing,low,True,approve,approve,True,369,missing_po
T-00192,2026-02-23 07:46:26,Accounts Payable AI,non_po_invoice,0.9586,36271.24,V-0396,existing,low,False,approve,approve,True,81,none
T-00193,2026-02-23 07:55:13,Accounts Payable AI,po_invoice,0.8879,16919.31,V-0256,existing,low,True,approve,approve,True,359,none
T-00194,2026-02-23 07:58:54,Accounts Payable AI,standard_invoice,0.9528,40367.5,V-0080,existing,low,False,approve,approve,True,33,none
T-00195,2026-02-23 08:01:54,Accounts Payable AI,po_invoice,0.9033,8410.1,V-0367,existing,medium,True,reject,reject,True,167,contract_mismatch
T-00196,2026-02-23 08:12:46,Accounts Payable AI,non_po_invoice,0.9614,24697.53,V-0209,existing,low,False,approve,approve,True,25,none
T-00197,2026-02-23 08:23:26,Accounts Payable AI,non_po_invoice,0.9962,20904.53,V-0266,existing,low,False,approve,approve,True,27,none
T-00198,2026-02-23 08:25:22,Accounts Payable AI,po_invoice,0.8967,76732.93,NV-0097,new,medium,True,approve,approve,True,423,price_mismatch
T-00199,2026-02-23 08:30:22,Accounts Payable AI,po_invoice,0.9863,71815.83,V-0237,existing,low,False,approve,approve,True,39,none
